,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
fuding,ki⁴⁴⁵,pʰi⁴²,,mi²¹²,,,tsui⁴⁵,tsi⁴⁴⁵,tʰi²¹²,,,kie⁴⁴⁵,puoi⁴⁴⁵,tɛ¹¹,pʰu²¹²,ŋu²¹²,tsʰiu⁴⁵,ʒiu⁵³,,uo⁴⁴⁵,ŋu¹¹,,,huo¹¹,,to⁴⁴⁵,mo²¹²,,ma⁴⁵,tsʰia²¹²,,ua¹¹,sua⁴⁴⁵,ua⁴⁵,tua¹¹,tai⁴²,sia²¹²,kʰi²¹²,ŋia¹¹,toi⁴⁵,soi¹¹,teu²¹²,,tʰau²¹²,tsʰau⁴⁵,lai²¹²,ma²¹²,tsa⁴⁵,tsʰiou⁴²,,seʔ²³a,tseiŋ⁴⁴⁵,,nieŋ⁴⁵,tsaŋ⁴⁴⁵,aŋ⁴²,saŋ⁴⁴⁵,taŋ⁴²,aʔ⁵,iʔ²³a,,miŋ⁴²,tsʰiʔ⁵,niʔ²³a,piŋ⁴⁴⁵,siŋ²¹²,tiʔ²³a,,peiŋ⁴⁵,tsʰeʔ²³b,kiŋ⁴⁴⁵,,kieŋ⁴⁴⁵,pein⁴²,peʔ⁵,,nieŋ²¹²,tʰieʔ⁵,sieʔ²³a,heʔ⁵,suŋ²¹²,tsʰuʔ⁵,,koʔ⁵,koʔ²³a,souŋ⁴⁴⁵,louŋ¹¹,puoŋ¹¹,tʰoʔ²³a ,tsuoŋ⁴⁴⁵,ŋuoʔ²³a,kaŋ⁴⁴⁵,saŋ⁴⁵,saʔ⁵,,siaŋ²¹²,,muaŋ⁴⁵,puaŋ⁴²,muŋ⁴²,meʔ²³a,luŋ²¹²,tsuŋ⁴²,tuʔ⁵,tsuʔ⁵,nuʔ²³a,pʰuŋ⁴⁴⁵,,,neiŋ²¹²,teiŋ¹¹,puʔ⁵,keʔ⁵,leʔ²³a,touŋ²¹²,laŋ¹¹,so⁴²,,loʔ²³a ,,sioŋ¹¹,sie²³b,nie²³b,tsʰaŋ⁴⁴⁵,paŋ²¹²,tsaŋ⁴⁵,paʔ²³a,miaŋ²¹²,,,huaŋ²¹²,
bailin,ki⁴⁴,pʰi²²¹,,mi⁴¹,,,tsui⁴⁵,tɕi⁴⁴,tʰi⁴¹,,,kie⁴⁴,puoi⁴⁴,tɛ³³,pʰu⁴¹,ŋu⁴¹,tɕʰiu⁴⁵,tɕʰiu²²¹,,uo⁴⁴,ŋu³³,,,xuo³³,,tɔ⁴⁴,mɔ⁴¹,,ma⁴⁵,tɕʰia⁴¹,,ua³³,θua⁴⁴,ua⁴⁵,tua³³,tai²²¹,θia⁴¹,kʰi⁴¹,ŋia³³,toi⁴⁵,θoi³³,teu⁴¹,,tʰau⁴¹,tsʰau⁴⁵,lai⁴¹,ma⁴¹,tsa⁴⁵,tɕʰiəu²²¹,,θeʔ⁵,tseŋ⁴⁴,,nieŋ⁴⁵,tsaŋ⁴⁴,aŋ²²¹,θaŋ⁴⁴,taŋ²²¹,aʔ²,θieʔ⁵,,miŋ²²¹,tɕʰiʔ²,niʔ⁵,piŋ⁴⁴,θiŋ⁴¹,tiʔ⁵,,peŋ⁴⁵,tsʰeʔ⁵,kiŋ⁴⁴,,kieŋ⁴⁴,pen²²¹,peʔ²,,nieŋ⁴¹,tʰieʔ²,θieʔ⁵,xeʔ²,θuŋ⁴¹,tsʰuʔ²,,koʔ²,koʔ⁵,θoŋ⁴⁴,loŋ³³,puoŋ³³,tʰoʔ⁵ ,tɕioŋ⁴⁴,ŋuoʔ⁵,kaŋ⁴⁴,θaŋ⁴⁵,θaʔ²,,θiaŋ⁴¹,,muaŋ⁴⁵,puaŋ²²¹,muŋ²²¹,meʔ⁵,luŋ⁴¹,tsuŋ²²¹,tuʔ²,,nuʔ⁵,pʰuŋ⁴⁴,,,neŋ⁴¹,teŋ³³,puʔ²,keʔ²,leʔ⁵,toŋ⁴¹,laŋ³³,θɔ²²¹,,loʔ⁵ ,,θioŋ³³,θio⁴⁵,nio⁴⁵,tsʰaŋ⁴⁴,paŋ⁴¹,tsaŋ⁴⁵,pa⁴⁵,miaŋ⁴¹,,,xuaŋ⁴¹,
xiapu,ki⁴⁴,pʰi³⁵,,mi²²,,,tsui⁴²,tsy⁴⁴,tʰy²²,,,ke⁴⁴,poi⁴⁴,tɛ²¹²,pʰu²²,ŋu²²,tsʰiu⁴²,tsʰiu³⁵,,u⁴⁴,ŋu²¹²,,,y⁴²,,tɔ⁴⁴,mɔ²²,pa²¹²,ma⁴²,tsʰia²²,,ua²¹²,sua⁴⁴,ua⁴²,tua²¹²,tai³⁵,sia²²,kʰi²²,ŋia²¹²,toi⁴²,soi²¹²,tɛu²²,,tʰau²²,tsʰau⁴²,lai²²,ma²²,tsa⁴²,tsʰeu³⁵,,saiʔ²,tsaiŋ⁴⁴,,neiŋ⁴²,tsaŋ⁴⁴,aŋ³⁵,saŋ⁴⁴,taŋ³⁵,aʔ⁵,siʔ²,,miŋ³⁵,tsʰiʔ⁵,niʔ²,piŋ⁴⁴,siŋ²²,tiʔ²,,paiŋ⁴²,tsʰaiʔ²,kyuŋ⁴⁴,,keiŋ⁴⁴,xuaŋ⁴²,paiʔ⁵,,neiŋ²²,tʰeiʔ⁵,seiʔ²,xaiʔ⁵,suŋ²²,tsʰuʔ⁵,,kouʔ⁵,kouʔ²,souŋ⁴⁴,louŋ²¹²,pouŋ²¹²,tʰouʔ⁵,tsouŋ⁴⁴,ŋouʔ²,kaŋ⁴⁴,saŋ⁴²,saʔ⁵,,tsouŋ²²,,muaŋ⁴²,puaŋ³⁵,maiŋ³⁵,maiʔ²,luŋ²²,tsuŋ³⁵,tyuʔ⁵,tsyuʔ⁵,nyuʔ²,pʰuŋ⁴⁴,,,naiŋ²²,taiŋ²¹²,puʔ⁵,kaiʔ⁵,laiʔ²,tɔuŋ²²,laŋ²¹²,sɔʔ⁵,,lɔʔ²,,syoŋ²¹²,søʔ²,nyoʔ²,tsʰaŋ⁴⁴,paŋ²²,tsaŋ⁴²,paʔ²,miaŋ²²,,,xuaŋ²²,
changchun,ki⁴⁴,pʰi³³⁵,,mi¹¹,,,tsui⁴²,tɕy⁴⁴,tʰy¹¹,,,ke⁴⁴,poi⁴⁴,tɛ²²⁴,pʰu¹¹,ŋu¹¹,tɕʰiu⁴²,tɕʰiu³³⁵,,u⁴⁴,ŋu²²⁴,,,xo²²⁴,,tɔ⁴⁴,mɔ¹¹,pa²²⁴,ma⁴²,tɕʰia¹¹,,ua²²⁴,θua⁴⁴,ua⁴²,tua²²⁴,tai³³⁵,θia¹¹,kʰi¹¹,ŋia²²⁴,toi⁴²,θɔi²²⁴,teau¹¹,,tʰau¹¹,tsʰau⁴²,lai¹¹,ma¹¹,tsa⁴²,tsʰeu³³⁵,,,tsɛŋ⁴⁴,,neŋ⁴²,tsaŋ⁴⁴,aŋ³³⁵,θaŋ⁴⁴,taŋ³³⁵,,,,miŋ³³⁵,,,piŋ⁴⁴,θiŋ¹¹,,,pɛŋ⁴²,,kyŋ⁴⁴,,keŋ⁴⁴,pɛŋ⁴²,,,neŋ¹¹,,,,θuŋ¹¹,,,,,θɔŋ⁴⁴,,poŋ²²⁴,,tsoŋ⁴⁴,,kaŋ⁴⁴,θaŋ⁴²,,,θiaŋ¹¹,,muaŋ⁴²,puaŋ³³⁵,mɛŋ³³⁵,,luŋ¹¹,tsuŋ³³⁵,,,,pʰuŋ⁴⁴,,,nɛŋ¹¹,tɛŋ²²⁴,,,,tɔŋ¹¹,laŋ²²⁴,,,,,θøŋ²²⁴,,,tsʰaŋ⁴⁴,paŋ¹¹,tsaŋ⁴²,,miaŋ¹¹,,,xuaŋ¹¹,
shouning,ki⁴⁴,pʰi³³⁵,,mi²¹,,,tsy⁴²,tsy⁴⁴,tʰy²¹,,,kie⁴⁴,puoi⁴⁴,,pʰu²¹,ŋu²¹,tsʰiu⁴²,tsʰiu³³⁵,,u⁴⁴,ŋu¹¹²,,,y⁴²,,tɔ⁴⁴,mɔ²¹,pa¹¹²,ma⁴²,tsʰia²¹,,ua¹¹²,sua⁴⁴,ŋua⁴²,tua¹¹²,tai³³⁵,sia²¹,kʰi²¹,ŋia¹¹²,tɔi⁴²,sɔi¹¹²,tɛu²¹,,tʰau²¹,tsʰau⁴²,lai²¹,ma²¹,tsa⁴²,tsʰieu³³⁵,,sɛʔ²,tseŋ⁴⁴,,nieŋ⁴²,tsaŋ⁴⁴,aŋ³³⁵,saŋ⁴⁴,taŋ³³⁵,aʔ⁵,ieʔ²,,miŋ³³⁵,tsʰiʔ⁵,niʔ²,piŋ⁴⁴,siŋ²¹,tiʔ²,,peŋ⁴²,tsʰɛʔ²,kyŋ⁴⁴,,kieŋ⁴⁴,peŋ⁴²,pɛʔ⁵,,nieŋ²¹,tʰieʔ⁵,tsieʔ²,xɛʔ⁵,,tsʰyʔ⁵,,kɔʔ⁵,kɔʔ²,soŋ⁴⁴,loŋ¹¹²,puoŋ¹¹²,tʰɔʔ² ,tsyoŋ⁴⁴,ŋyøʔ²,kaŋ⁴⁴,saŋ⁴²,saʔ⁵,,tsyoŋ²¹,,muaŋ⁴²,puaŋ³³⁵,muŋ³³⁵,mi³³ ,luŋ²¹,tsuŋ³³⁵,tuʔ⁵,tsuʔ⁵,nuʔ²,pʰuŋ⁴⁴,,,nuŋ²¹,teŋ¹¹²,puʔ⁵,kɛʔ⁵,,toŋ²¹,laŋ¹¹²,sɔ³³⁵,,lɔʔ²,,syoŋ¹¹²,syøʔ²,nyøʔ²,tsʰaŋ⁴⁴,paŋ²¹,tsaŋ⁴²,paʔ²,miaŋ²¹,,,,
xietan,ke⁴⁴,pʰe¹¹²,,me²¹,,,tʃy⁴²,tʃø⁴⁴,tʰø²¹,,,ki⁴⁴,pʊi⁴⁴,tœ³³⁵,pʰo²¹,ŋo²¹,tʃʰiu⁴²,tʃʰiu³³⁵,,o⁴⁴,ŋo¹¹²,,,y⁴²,,tɔ⁴⁴,mɔ²¹,,ma⁴²,tʃʰie²¹,,xuʌ¹¹²,suʌ⁴⁴,ŋuʌ⁴²,tuʌ¹¹²,tai³³⁵,sie²¹,kʰi²¹,ŋie¹¹²,tɵi⁴²,sɔi¹¹²,tɛu²¹,,tʰau²¹,tsʰau⁴²,lai²¹,ma²¹,tsa⁴²,tʃʰiu³³⁵,,sɛʔ²,tsɛiŋ⁴⁴,,niŋ⁴²,tsaŋ⁴⁴,aŋ³³⁵,saŋ⁴⁴,taŋ³³⁵,aʔ⁵,sieʔ²,,meiŋ³³⁵,tʃeiʔ⁵,neiʔ²,peiŋ⁴⁴,seiŋ²¹,teiʔ²,,peiŋ⁴²,tsʰɛʔ²,køuŋ⁴⁴,,kiŋ⁴⁴,peiŋ⁴²,pɛʔ⁵,,niŋ²¹,tʰiʔ⁵,tʃiʔ²,xɛʔ⁵,souŋ²¹,tsʰoʔ⁵,,kɔʔ⁵,kɔʔ²,sɔuŋ⁴⁴,lɔuŋ¹¹²,pʊŋ¹¹²,tʰɔʔ² ,tsʊŋ⁴⁴,ŋʊʔ²,kaŋ⁴⁴,saŋ⁴²,saʔ⁵,,tsouŋ²¹,,muaŋ⁴²,puaŋ³³⁵,mœuŋ³³⁵,moʔ²,louŋ²¹,tsouŋ³³⁵,tøʔ⁵,tʃøʔ⁵,nøʔ²,pʰouŋ⁴⁴,,,nœuŋ²¹,tœuŋ¹¹²,pʊʔ⁵,kœʔ⁵,lœʔ²,tɔuŋ²¹,laŋ¹¹²,sɔʔ⁵,,lɔʔ²,,siɔŋ¹¹²,syʔ²,nyʔ²,tsʰaŋ⁴⁴,paŋ²¹,tsaŋ⁴²,paʔ²,miaŋ²¹,,,xuaŋ²¹,
zherong,ki³³²,pʰi³³⁵,,mi²²¹,,,tsui⁵¹,tsy³³²,tʰy²²¹,,,kie³³²,puɛ³³²,tœ³³⁵,pʰu²²¹,ŋu²²¹,tsʰiu⁵¹,tsʰiu³³⁵,,u³³²,ŋu¹¹²,,,xuo¹¹²,,tɔ³³²,mɔ²²¹,pa²²¹,ma⁵¹,tsʰia²²¹,,ua¹¹²,sua³³²,ŋua⁵¹,tua¹¹²,tai³³⁵,sia²²¹,kʰi²²¹,ŋia¹¹²,toi⁵¹,soi¹¹²,tɛu²²¹,,tʰau²²¹,tsʰau⁵¹,lai²²¹,ma²²¹,tsa⁵¹,tsʰiau³³⁵,,sɛk²,tsɛŋ³³²,,nieŋ⁵¹,tsaŋ³³²,aŋ³³⁵,saŋ³³²,taŋ³³⁵,ak⁵,siek²,,miŋ³³⁵,tsʰik⁵,nik²,piŋ³³²,siŋ²²¹,tik²,,pɛŋ⁵¹,tsʰɛk²,kyŋ³³²,,kieŋ³³²,pɛŋ⁵¹,pɛk⁵,,nieŋ²²¹,tʰiek⁵,siek²,xɛk⁵,suŋ²²¹,tsʰuk⁵,,kɔk⁵,kɔk²,sɔŋ³³²,lɔŋ¹¹²,puoŋ¹¹²,tʰɔk⁵,tsuoŋ³³²,ŋuok²,kaŋ³³²,saŋ⁵¹,sak⁵,,tsuoŋ²²¹,,muaŋ⁵¹,puaŋ³³⁵,muŋ³³⁵,muk²,luŋ²²¹,tsuŋ³³⁵,tyk²,tsyk⁵,nyk²,pʰuŋ³³²,,,nœŋ²²¹,tœŋ¹¹²,puk⁵,kœk⁵,lœk²,,laŋ¹¹²,sɔʔ⁵,,lɔʔ²,,syøŋ¹¹²,syøʔ²,nyøʔ²,tsʰaŋ³³²,paŋ²²¹,tsaŋ⁵¹,paʔ²,miaŋ²²¹,,,xuaŋ²²¹,
fuxi,ki³³²,pʰi³³⁵, ,mi²²¹,,,tʃui⁵¹,tʃy³³²,tʰy²²¹,,,ke³³²,pɔi³³²,tœ³³⁵,pʰu²²¹,ŋu²²¹,tʃʰiu⁵¹,tʃʰiu³³⁵,,u³³²,ŋu¹¹²,,,y⁵¹,,tɔ³³²,mɔ²²¹,,ma⁵¹,tʃʰia²²¹,,ua¹¹²,θua³³²,ŋua⁵¹,tua¹¹²,tai³³⁵,θia²²¹,kʰi²²¹,ŋia¹¹²,tɔi⁵¹,θɔi¹¹²,tɛu²²¹,,tʰau²²¹,tsʰau⁵¹,lai²²¹,ma²²¹,tsa⁵¹,tʃʰiau³³⁵,,θeiʔ²,tʃeiŋ³³²,,neiŋ⁵¹,tsaŋ³³²,aŋ³³⁵,θaŋ³³²,taŋ³³⁵,aʔ⁵,θeiʔ²,,miŋ³³⁵,tʃʰiʔ⁵,niʔ²,piŋ³³²,θiŋ²²¹,tiʔ²,,peiŋ⁵¹,tʃʰeiʔ²,kyŋ³³²,,keiŋ³³²,peiŋ⁵¹,peiʔ⁵,,neiŋ²²¹,tʰeiʔ⁵,θeiʔ²,heiʔ⁵,θuŋ²²¹,tʃʰuʔ⁵,,kɔuʔ⁵,kɔuʔ²,θɔuŋ³³²,lɔuŋ¹¹²,pouŋ¹¹²,tʰɔuʔ² ,tsouŋ³³²,ŋoʔ²,kaŋ³³²,θaŋ⁵¹,θaʔ⁵,,tsouŋ²²¹,,muaŋ⁵¹,puaŋ³³⁵,mœuŋ³³⁵,muʔ²,luŋ²²¹,tʃuŋ³³⁵,tiuʔ⁵,tʃiuʔ⁵,niuʔ²,pʰuŋ³³²,,,nœuŋ²²¹,tœuŋ¹¹²,puʔ⁵,kœuʔ⁵,lœuʔ²,tɔuŋ²²¹,laŋ¹¹²,θɔʔ⁵,,lɔʔ²,,θiɔuŋ¹¹²,θøʔ²,nøʔ²,tsʰaŋ³³²,paŋ²²¹,tsaŋ⁵¹,paʔ²,miaŋ²²¹,,,huaŋ²²¹,
daqiao,tɕie⁵⁵ ,pʰi¹¹,,mi³³,sai⁴⁵,pui³³,tɕy⁴¹,tɕy⁵⁵,tʰy³³,,,kie⁵⁵,puoi⁵⁵,tœ²²⁴,pʰu³³,ŋu³³,tɕʰiu⁴¹,tɕʰiu¹¹,ku⁵⁵,u⁵⁵,ŋu²²⁴,muo¹¹,,y⁴¹,tsʰuo¹¹,tɔ⁵⁵,mɔ³³,pa²²⁴,ma⁴¹,siɐ³³,,ua²²⁴,sai⁵⁵,ŋuai⁴¹,tuai²²⁴,tai¹¹,sie³³,kʰiɐ³³,ŋie⁵⁵ ,toi⁴¹,soi²²⁴,teu³³,,tʰau³³,tsʰau⁴¹,lai³³,ma³³,tsa⁴¹,tɕʰiɐu¹¹,,seik⁵,tseiŋ⁵⁵,,nieŋ⁴¹,tsaŋ⁵⁵,aŋ¹¹,saŋ⁵⁵,taŋ¹¹,ak¹,sik⁵,,miŋ¹¹,tɕʰik¹,nik⁵,piŋ⁵⁵,liŋ³³,tik⁵,,peiŋ⁴¹,tsʰeik⁵,kyŋ⁵⁵,,kieŋ⁵⁵,peiŋ⁴¹,peik¹,,nieŋ³³,tʰiek¹,siek⁵,heik¹,suŋ³³,tsʰuk¹,,kouk¹,kouk⁵,souŋ⁵⁵,louŋ²²⁴,puoŋ²²⁴,tʰouk¹,tsuoŋ⁵⁵,ŋuok⁵,kaŋ⁵⁵,saŋ⁴¹,sak¹,lau³³ lak⁵,tsuoŋ³³,tiaŋ²²⁴,muaŋ⁴¹,puaŋ¹¹,møyŋ¹¹,meik⁵,lyŋ³³,tɕyŋ¹¹ ,tyk¹,tɕyk¹,nyk⁵,pʰuŋ⁵⁵,,,nøyŋ¹¹,tøyŋ²²⁴,puk¹,køyk¹,løyk⁵,touŋ³³,laŋ²²⁴,sɔʔ¹,,lɔʔ⁵,,syøŋ²²⁴,syøʔ⁵,nyøʔ⁵,tsʰaŋ⁵⁵,paŋ³³,tsaŋ⁴¹,paʔ⁵,miaŋ³³,tiaŋ⁴¹,,huaŋ³³,
shanyang,ki⁵⁴⁴,pʰi³³⁵,,mɛi²¹,tsai²¹,poi²¹,tɕy⁴¹,tɕy⁴³³,tʰy²¹,,,kie⁴³³,puɐi⁴³³,tœ¹¹²,pʰɔu²¹,ŋɔu²¹,tɕʰiu⁴¹,tɕʰiu³³⁵,ku⁴³³,u⁴³³,ŋɔu¹¹²,muo³³⁵,,y⁴¹,tsʰuo³³⁵,tɔ⁴³³,mɔ²¹,pa¹¹²,ma⁴¹,θiɐ²¹,,ua¹¹²,θua⁴³³,ua⁴¹,tua¹¹²,tai³³⁵,θiɐ²¹,kʰɛi²¹,ŋiɐ⁴⁴ ,tœy⁴¹,θɔi¹¹²,tɛu²¹,,tʰau²¹,tsʰau⁴¹,lai¹¹ ,ma²¹,tsa⁴¹,tɕʰiau³³⁵,,θɛik⁵,tsɛiŋ⁴³³,,nieiŋ⁴¹,tsaŋ⁴³³,aŋ³³⁵,θaŋ⁴³³,taŋ³³⁵,ak³⁵,θik⁵,,miŋ³³⁵,tɕʰik³⁵,nik⁵,piŋ⁴³³,θeŋ²¹,tik⁵,,pɛiŋ⁴¹,tsʰɛik⁵,kyŋ⁴³³,,kieiŋ⁴³³,pɛiŋ⁴¹,pɛik³⁵,,nieŋ²¹,tʰieik³⁵,θɛik⁵,xɛik³⁵,θoŋ²¹,tsʰuk³⁵,,kɔuk³⁵,kɔuk⁵,θɔuŋ⁴³³,lɔŋ¹¹²,puoŋ¹¹²,tʰɔuk³⁵,tsɔuŋ⁴³³,ŋɔuk⁵,kaŋ⁴³³,θaŋ⁴¹,θak³⁵,θaŋ⁴⁴ mɔ⁴¹,tsuoŋ²¹,tiaŋ¹¹²,muaŋ⁴¹,puaŋ³³⁵,mœyŋ³³⁵,mœyk⁵,løŋ²¹,tɕyŋ³³⁵,tyk³⁵,tɕyk³⁵,nyk⁵,pʰuŋ⁴³³,,,nœŋ²¹,tœŋ¹¹²,puk³⁵,kœyk³⁵,lœyk⁵,tɔŋ²¹,laŋ¹¹²,θɔʔ³⁵,tɔʔ⁵,lɔʔ⁵,,θyoŋ¹¹²,θyɵʔ⁵,nyɵʔ⁵,tsʰaŋ⁴³³,paŋ²¹,tsaŋ⁴¹,paʔ⁵,miaŋ²¹,tiaŋ⁴¹,,xuaŋ²¹,
gutian,tsie⁵⁵,pʰi²¹,,mi³³,,,tsy⁴²,tsy⁵⁵,tʰy³³,,,kie⁵⁵,puoi⁵⁵,tœ³²⁴,pʰu³³,ŋu³³,tsʰiu⁴²,tsʰiu²¹,,u⁵⁵,ŋu³²⁴,,,huo³²⁴,,to⁵⁵,mo³³,pa³²⁴,ma⁴²,sia³³,,ua³²⁴,sai⁵⁵,ŋuai⁴²,tuai³²⁴,tai²¹,sie³³,,ŋuoi³²⁴,toi⁴²,soi³²⁴,tɛu³³,,tʰau³³,tsʰau⁴²,loi³³,ma³³,tsa⁴²,tsʰiau²¹,,seik⁵,tseiŋ⁵⁵,,niaŋ⁴²,tsaŋ⁵⁵,aŋ²¹,saŋ⁵⁵,taŋ²¹,ak²,sik⁵,,miŋ²¹,tsʰik²,nik⁵,piŋ⁵⁵,siŋ³³,tik⁵,,peiŋ⁴²,tsʰeik⁵,kyŋ⁵⁵,,kieŋ⁵⁵,peiŋ⁴²,peik²,,nieŋ³³,tʰiek²,siek⁵,heik²,suŋ³³,tsʰuk²,,kouk²,kouk⁵,souŋ⁵⁵,louŋ³²⁴,puoŋ³²⁴,tʰouk²,tsuoŋ⁵⁵,ŋuok⁵,kaŋ⁵⁵,saŋ⁴²,sak²,,tsuoŋ³³,,muaŋ⁴²,puaŋ²¹,møyŋ²¹,møyk⁵,lyŋ³³,tsyŋ²¹,tyk²,tsyk²,nyk⁵,,,,nøyŋ²¹,tøyŋ³²⁴,puk²,køyk²,løyk⁵,touŋ³³,laŋ³²⁴,soʔ²,,loʔ⁵,,syøŋ³²⁴,syøk⁵,nyøk⁵,tsʰaŋ⁵⁵,paŋ³³,tsaŋ⁴²,paʔ⁵,miaŋ³³,,,huaŋ³³,
